fname,method,aopc
person114_bacteria_546,gradcam,0.1281
person114_bacteria_546,shap,0.2438
person117_bacteria_553,gradcam,0.1184
person117_bacteria_553,shap,0.2407
person117_bacteria_556,gradcam,0.0694
person117_bacteria_556,shap,0.2353
person117_bacteria_557,gradcam,0.0538
person117_bacteria_557,shap,0.1482
person118_bacteria_559,gradcam,0.0418
person118_bacteria_559,shap,0.1126
person118_bacteria_560,gradcam,0.173
person118_bacteria_560,shap,0.2423
person119_bacteria_565,gradcam,0.1724
person119_bacteria_565,shap,0.3033
person119_bacteria_566,gradcam,0.1022
person119_bacteria_566,shap,0.1494
person119_bacteria_567,gradcam,0.1307
person119_bacteria_567,shap,0.2899
person119_bacteria_568,gradcam,0.2121
person119_bacteria_568,shap,0.2837
person11_virus_38,gradcam,0.2044
person11_virus_38,shap,0.3884
person120_bacteria_570,gradcam,0.1618
person120_bacteria_570,shap,0.3285
person120_bacteria_571,gradcam,0.0687
person120_bacteria_571,shap,0.2093
person120_bacteria_572,gradcam,0.1502
person120_bacteria_572,shap,0.143
person120_bacteria_573,gradcam,0.0158
person120_bacteria_573,shap,0.1157
person121_bacteria_575,gradcam,0.056
person121_bacteria_575,shap,0.1864
person121_bacteria_576,gradcam,0.0698
person121_bacteria_576,shap,0.2455
person121_bacteria_578,gradcam,-0.0149
person121_bacteria_578,shap,0.2381
person121_bacteria_579,gradcam,0.1097
person121_bacteria_579,shap,0.2512
person121_bacteria_580,gradcam,0.0804
person121_bacteria_580,shap,0.2481
person122_bacteria_581,gradcam,0.118
person122_bacteria_581,shap,0.2671
person122_bacteria_582,gradcam,0.0908
person122_bacteria_582,shap,0.2866
person122_bacteria_583,gradcam,0.1637
person122_bacteria_583,shap,0.3708
person122_bacteria_584,gradcam,0.1034
person122_bacteria_584,shap,0.2454
person122_bacteria_585,gradcam,0.1723
person122_bacteria_585,shap,0.3875
person122_bacteria_586,gradcam,0.0615
person122_bacteria_586,shap,0.1582
person123_bacteria_587,gradcam,0.0816
person123_bacteria_587,shap,0.2472
person124_bacteria_589,gradcam,0.0926
person124_bacteria_589,shap,0.2795
person124_bacteria_590,gradcam,0.0683
person124_bacteria_590,shap,0.2637
person124_bacteria_591,gradcam,0.0987
person124_bacteria_591,shap,0.2622
person124_bacteria_592,gradcam,0.0794
person124_bacteria_592,shap,0.2665
person125_bacteria_594,gradcam,0.1965
person125_bacteria_594,shap,0.3067
person125_bacteria_595,gradcam,0.1689
person125_bacteria_595,shap,0.3018
person126_bacteria_598,gradcam,0.1084
person126_bacteria_598,shap,0.2824
person126_bacteria_599,gradcam,0.1476
person126_bacteria_599,shap,0.197
person126_bacteria_600,gradcam,0.0913
person126_bacteria_600,shap,0.206
person127_bacteria_602,gradcam,0.1163
person127_bacteria_602,shap,0.2207
person127_bacteria_603,gradcam,0.1448
person127_bacteria_603,shap,0.2639
person127_bacteria_604,gradcam,0.0935
person127_bacteria_604,shap,0.3139
person128_bacteria_605,gradcam,0.0893
person128_bacteria_605,shap,0.2469
